index,param_min_samples_split,param_n_estimators,mean_test_cohen_kappa,rank_test_cohen_kappa,mean_test_rec,rank_test_rec,mean_test_prec,rank_test_prec,rank_sum,metrics_sum
6,2,77,0.210,2,0.175,6,0.450,32,40,0.835
1,2,17,0.211,1,0.183,2,0.423,41,44,0.817
5,2,65,0.209,3,0.174,7,0.446,35,45,0.829
3,2,41,0.208,5,0.176,5,0.438,38,48,0.821
7,2,89,0.209,4,0.174,8,0.446,36,48,0.828
10,2,125,0.207,6,0.172,12,0.450,31,49,0.829
8,2,101,0.207,7,0.172,10,0.448,34,51,0.827
9,2,113,0.207,8,0.172,11,0.448,33,52,0.827
2,2,29,0.206,10,0.176,4,0.427,40,54,0.809
17,4,77,0.197,14,0.153,19,0.491,21,54,0.841
4,2,53,0.206,9,0.174,9,0.438,37,55,0.818
12,4,17,0.198,12,0.160,14,0.457,30,56,0.815
0,2,5,0.201,11,0.198,1,0.357,44,56,0.756
15,4,53,0.196,15,0.153,18,0.486,25,58,0.836
20,4,113,0.195,18,0.151,21,0.493,20,59,0.839
11,4,5,0.197,13,0.179,3,0.388,43,59,0.764
13,4,29,0.196,16,0.155,15,0.473,29,60,0.824
16,4,65,0.196,17,0.153,17,0.485,27,61,0.834
14,4,41,0.195,19,0.153,16,0.476,28,63,0.824
19,4,101,0.195,20,0.151,22,0.490,22,64,0.835
28,6,77,0.182,26,0.134,27,0.527,11,64,0.844
31,6,113,0.180,28,0.132,30,0.528,9,67,0.840
21,4,125,0.193,21,0.150,23,0.486,26,70,0.830
18,4,89,0.193,22,0.149,24,0.488,24,70,0.831
23,6,17,0.185,24,0.141,25,0.488,23,72,0.814
24,6,29,0.182,27,0.136,26,0.504,19,72,0.821
30,6,101,0.179,29,0.131,31,0.524,12,72,0.834
26,6,53,0.179,30,0.132,29,0.515,16,75,0.826
25,6,41,0.179,31,0.133,28,0.507,18,77,0.819
27,6,65,0.178,32,0.131,32,0.519,14,78,0.829
22,6,5,0.189,23,0.163,13,0.409,42,78,0.761
38,8,65,0.167,38,0.119,38,0.544,5,81,0.829
29,6,89,0.177,33,0.130,33,0.519,15,81,0.825
32,6,125,0.175,34,0.128,34,0.523,13,81,0.826
36,8,41,0.167,37,0.119,37,0.536,8,82,0.822
43,8,125,0.165,40,0.116,41,0.551,1,82,0.832
35,8,29,0.169,36,0.122,36,0.528,10,82,0.820
33,8,5,0.184,25,0.151,20,0.430,39,84,0.765
37,8,53,0.165,39,0.118,39,0.536,7,85,0.819
34,8,17,0.171,35,0.125,35,0.512,17,87,0.808
39,8,77,0.164,41,0.117,40,0.539,6,87,0.820
41,8,101,0.164,42,0.116,42,0.546,3,87,0.826
42,8,113,0.164,43,0.116,44,0.548,2,89,0.828
40,8,89,0.163,44,0.116,43,0.544,4,91,0.823
