Name,classifier,dataset,k,n,Accuracy,Cohen_kappa,F1-Score,Jaccard,Precision,Recall
RF with n=9,randomforest,validation,,9,0.8957597796921338,0.2118527561386111,0.26122857500312774,0.1502374442365808,0.39262880782248966,0.19572553430821146
RF with n=9,randomforest,training,,9,0.9734971520030128,0.8325826103871263,0.8469692851318292,0.7345591702027345,0.9280023825478371,0.7789513155427785
RF with n=8,randomforest,validation,,8,0.8984253636492021,0.1982177024291476,0.2432930036822725,0.13849378649498428,0.40748898678414097,0.17341582302212225
RF with n=8,randomforest,training,,8,0.9681600997975803,0.7928242014691683,0.8099069032144739,0.6805407958436651,0.9248234916559692,0.7203924754702831
RF with n=7,randomforest,validation,,7,0.8943122440333287,0.2067518461768022,0.2572881776454534,0.1476366742596811,0.38027136046938026,0.19441319835020623
RF with n=7,randomforest,training,,7,0.9714553029233159,0.8185400874106921,0.8340006159531874,0.7152667723190702,0.9216457419452427,0.7615774014124117
RF with n=6,randomforest,validation,,6,0.8976133314503602,0.1908927851083515,0.2362391361601264,0.13394057040465882,0.3969026548672566,0.16816647919010125
RF with n=6,randomforest,training,,6,0.9642705832509533,0.7641069559696295,0.783142857142857,0.6435783047663771,0.9137428119009917,0.6852071745515905
RF with n=5,randomforest,validation,,5,0.8903756531563338,0.19815998244643085,0.25216763005780346,0.14427449359239355,0.3525252525252525,0.19628796400449944
RF with n=5,randomforest,training,,5,0.9680129925151815,0.7960565163328178,0.813362631325963,0.6854348706672068,0.9024761904761904,0.740266233360415
RF with n=4,randomforest,validation,,4,0.8965012003954244,0.1836755612831058,0.22966758638812243,0.12973133442184948,0.3838383838383838,0.16385451818522684
RF with n=4,randomforest,training,,4,0.9583215647507414,0.7179006103155995,0.7397964806583154,0.5870452425373134,0.897415329768271,0.6292731704268483
RF with n=3,randomforest,validation,,3,0.884832650755543,0.19748301573103,0.2567783094098884,0.1473010064043916,0.32723577235772355,0.21128608923884515
RF with n=3,randomforest,training,,3,0.9618462552370193,0.7568865613248292,0.7775337953750086,0.6360370474319393,0.8620007607455307,0.7081432410474345
RF with n=2,randomforest,validation,,2,0.8952301934754978,0.16171390872224467,0.2070808283233133,0.11549925484351714,0.3602975360297536,0.14529433820772403
RF with n=2,randomforest,training,,2,0.9458115614555382,0.611605693610974,0.6388485822973451,0.4693442434020975,0.8575489576753,0.5090306855821511
RF with n=1,randomforest,validation,,1,0.8623075836746222,0.17806462746230667,0.2538741151712264,0.1453927906212337,0.2591796875,0.2487814023247094
RF with n=1,randomforest,training,,1,0.9401332203549404,0.6372556980238743,0.6701251540107646,0.5039009167154281,0.6963142645374301,0.6458346353352915
